tweet_id,tweet_text
1822725093208027222,"@WeAreSince1776 @TheFunZoneSpot @SkySports Anything below gold is useless imo. You either win or lose, there is no sugarcoating. Sliver and bronze is basically participation medals that say 'well done you tried, but you didn't win'. It's useless and glorifies failure."
1822861999623033287,"Vinesh Phogat won't get the medal. In Tokyo Olympics, A Japanese wrestler disqualified for 50 gm overweight &amp; her appeal was rejected despite her country was hosting the Olympics   If she gets it, just know Modi has thrown some big business deal to Macron, probably more rafales"
1822904097336426661,"They say every child has a dream, to pursue the dream is in every child hand’s to make it a reality. I had the dream of becoming an Olympic Champion. I put the work in everyday and I’m so happy to say that I have accomplished my childhood dream. However behind every child you have a support team of friends, family, coaches, teammates who encourage and help make your dream a reality.  So I would firstly like to thank my parents who sacrificed their own lives to make my dream a reality. My best friends and teammates who supported and pushed me to achieve my dream. My coaches, especially Andi Manley you created the journey and allowed me to push myself until I had achieved my dream. Now Paris 2024 is over and I head back to Ireland I can finally reflect and thank everyone for the support across the past weeks and I’m happy to say I’m bringing a Gold and Bronze home 🥇🥉 Sláinte mo chairde 💚"
1822984981196521878,Matthijs de Ligt has:  - Captained Ajax at 19 years old  - Played for the biggest club in Italy and  Germany - Won Dutch footballer of the year - Won the Golden Boy award - Won 8 Trophies  All at the age of 25 years old https://t.co/nDkoaoHlO6
1823004644576309626,"""@ronNcaphill Very nice! I have collection of """"Last Supper."""" I need that one from the Olympics. At the time I  didn't compute as the """"Last Supper."""" Now with all outrage I need the Olympics version for the """"Last Supper"""" collection."""
1823050668032000039,2024 Holistic Olympics was a Great Success!☀️🕊️  thank you to the athletes and sponsor’s!  @codyjwatkins @arniewatkins @casbrad @KyleSchweke @MichaelAmmons @JonasKilker @jordan_driebe @leifofferdahl @brandondifede @GrecoGum @RegenaisanceMan @_Regenaissance https://t.co/Bwh8XL7qds
1823503645939245489,"Over his entire basketball career, Michael Jordan played for 11 championships. He never lost:  NCAA Championship: 1-0 Olympic Gold Medals: 2-0 FIBA Gold Medals: 2-0 NBA Championships: 6-0  Jordan remains the only player in NBA history to win: MVP, Finals MVP, Defensive Player of the Year, and Rookie of the Year."
1823625809040392254,"@LePulisic @UnRayao @TomerAzarly @KDTrey5 Yea my man keep going you know the saying ""Empty vessels make the most noise"" as for the better players.  Well the NBA draft over the past few  years😂 seems to think differently as does the MVP choice. Americans from U19 onwards really struggle to play intl basketball 🏀"
1823637069752885723,The @wwos posted what they thought was the top 10 of most medals won by Australians at Olympic Games.   Absolutely no idea !!  WHAT ABOUT : Leisel Jones - 9 medals  Petria Thomas - 8 Emily Seebohm -7  Seriously it’s not that difficult. https://t.co/n7hAcrFrH3
1823701454697214342,"Olympics was hitting… hard 🤸‍♀️🎯  Wanna win Uncommon Fancy Sport Top 🎽+ Uncommon Fancy Sport Bottom 🩳+ 500 $FRI 🍟EACH? Then you have to:  🥇 RT&Like 🥇 Drop your fav moment of #Olympics so far — post pic/video below 🥇 Share your Chainers Wallet for the goodies  🗓 3 winners will be announced on August, 21  Be fancy, be Chainor! ⭐️  #Sport #Airdrop #NFT #OlympicGames"
